회사명,종목코드,영업이익(억),부채비율(%),시가총액(원)
비씨엔씨,146320,14.11,51.25,135000000000
사람인,143240,27.25,21.76,178000000000
샘씨엔에스,252990,29.73,78.88,268000000000
씨앤지하이테크,264660,13.19,65.69,121800000000
아이센스,099190,7.48,47.52,491600000000
안랩,053800,11.84,33.03,697600000000
애니플러스,310200,17.16,75.77,282800000000
에코마케팅,230360,16.04,45.01,450000000000
엑시콘,092870,11.25,17.15,134800000000
웹젠,069080,34.28,12.62,498900000000
유비케어,032620,5.66,31.07,214300000000
이랜시스,264850,6.62,43.69,138100000000
이엔에프테크놀로지,102710,9.5,69.09,585800000000
이오테크닉스,039030,20.75,14.24,2895100000000
컴퍼니케이,307930,39.68,12.16,105200000000
케어젠,214370,48.66,8.38,2634700000000
켐트로스,220260,7.79,65.33,116200000000
콜마비앤에이치,200130,10.61,53.2,410600000000
클래시스,214150,48.57,44.37,3681400000000
클리오,237880,6.56,28.11,263800000000
태광,023160,18.16,13.31,647900000000
파이버프로,368770,18.15,36.33,194200000000
퓨런티어,370090,6.07,27.61,120100000000
피노,033790,12.82,7.47,320100000000
피에스케이홀딩스,031980,23.22,16.39,724500000000
BGF,027410,14.07,11.6,374300000000
JW생명과학,234080,14.34,80.25,190200000000
KG스틸,016380,8.91,80.55,580100000000
SBS,034120,15.81,61.22,403500000000
SK하이닉스,000660,15.26,64.12,201292700000000
SNT홀딩스,036530,8.88,40.86,890200000000
YG PLUS,037270,7.37,51.4,601700000000
두산밥캣,241560,12.43,84.07,5396700000000
미원에스씨,268280,13.22,25.57,729000000000
바이오노트,377740,61.59,9.8,551100000000
백산,035150,10.57,88.1,291300000000
삼성물산,028260,5.86,84.52,27859200000000
삼성바이오로직스,207940,32.77,84.56,73522700000000
삼성전자,005930,14.35,26.41,423846100000000
삼영전자공업,005680,7.15,3.96,213600000000
아세아제지,002310,10.7,28.68,322700000000
애경산업,018250,6.4,34.45,429700000000
조선선재,120030,14.09,6.81,128900000000
태경비케이,014580,9.26,36.34,142300000000
한국쉘석유,002960,11.63,52.57,574600000000
한국철강,104700,11.42,18.79,324000000000
한미사이언스,008930,6.46,53.11,2862200000000
현대퓨처넷,126560,6.17,8.32,368600000000
국보디자인,066620,7.6,87.67,163900000000
그린리소스,402490,14.87,65.56,139100000000
동국제약,086450,11.18,44.68,795300000000
디케이티,290550,5.83,98.47,157800000000
레이,228670,12.56,91.04,109500000000
레이언스,228850,17.23,16.19,103500000000
마이크로컨텍솔,098120,12.93,16.96,194500000000
미래컴퍼니,049950,16.48,28.65,140100000000
뷰웍스,100120,18.35,37.79,207200000000
비츠로셀,082920,20.45,27.72,705600000000
삼보판지,023600,11.61,27.61,153800000000
새빗켐,107600,21.19,41.88,198200000000
서원인텍,093920,7.12,20.92,105800000000
셀바스헬스케어,208370,8.97,36.36,107500000000
솔브레인홀딩스,036830,13.01,42.94,997900000000
슈프리마,236200,19.98,6.59,236200000000
싸이맥스,160980,10.85,46.69,139500000000
아바코,083930,6.25,64.94,189300000000
아셈스,136410,16.37,68.61,112400000000
아톤,158430,17.98,68.2,202000000000
에스앤에스텍,101490,12.96,19.1,1171200000000
엘케이켐,489500,35.85,66.02,114900000000
엠에스씨,009780,12.08,59.38,151200000000
오성첨단소재,052420,11.04,40.29,137500000000
원익,032940,6.85,47.74,114300000000
유비쿼스,264450,18.35,27.12,132800000000
인바디,041830,25.44,12.32,380800000000
잉글우드랩,950140,6.52,45.52,257700000000
지노믹트리,228760,8.05,51.46,414600000000
칩스앤미디어,094360,30.31,50.28,343700000000
타이거일렉,219130,5.36,31.06,115000000000
탑머티리얼,360070,18.68,26.02,209300000000
티쓰리,204610,16.83,26.98,137700000000
프로텍,053610,30.22,14.17,309600000000
하이록코리아,013030,22.26,8.37,391600000000
하이비젼시스템,126700,12.69,38.65,232200000000
한양디지텍,078350,10.9,91.82,137500000000
해성산업,034810,8.31,88.63,261100000000
헥토이노베이션,214180,13.55,86.41,216000000000
광주신세계,037710,35.48,15.64,238700000000
그린케미칼,083420,5.3,60.56,186500000000
대덕,008060,11.85,28.23,271800000000
디아이동일,001530,5.39,61.16,850700000000
